Age,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
41 years,86441,86640,84741,81993,77936,78142,77622,75028,77452,78276,75822,73697,70405,69776,73176,73460,75660,80147,84930,89455,89410,91268,91523
42 years,84774,86214,86405,84516,81821,77278,77931,77424,74916,77358,78186,75761,73696,70345,69703,72297,73379,75596,79980,84768,89284,89227,91087
43 years,84022,84522,85916,86154,84291,80762,77093,77739,77283,74805,77245,78101,75701,73562,70274,68808,72190,73316,75439,79854,84643,89131,89052
44 years,84172,83758,84235,85637,85880,83325,80522,76862,77564,77136,74636,77122,78015,75528,73410,69414,68720,72044,73152,75280,79683,84470,88946
45 years,82669,83887,83422,83937,85343,85331,83013,80223,76644,77346,76976,74509,77032,77868,75339,71993,69276,68577,71882,72973,75116,79502,84290
46 years,78799,82335,83528,83065,83619,84431,85032,82662,79938,76386,77127,76795,74364,76868,77674,74262,71798,69169,68362,71668,72792,74951,79314
47 years,71698,78418,81952,83188,82702,82627,84083,84708,82336,79638,76099,76891,76585,74161,76668,76806,74048,71575,68962,68168,71452,72569,74761
48 years,70789,71359,78006,81530,82793,81353,82211,83680,84353,81977,79309,75812,76634,76297,73892,75727,76545,73770,71346,68752,67968,71236,72349
49 years,67611,70400,70960,77577,81102,81928,80906,81767,83304,83953,81565,78971,75511,76336,76010,72787,75448,76265,73487,71099,68512,67721,70996
50 years,58416,67158,69928,70490,77101,80100,81418,80436,81358,82886,83571,81193,78609,75177,75974,75085,72467,75172,75940,73193,70847,68269,67491
51 years,53590,58026,66739,69422,70037,75973,79597,80906,79929,80918,82420,83114,80728,78181,74823,74962,74752,72087,74781,75623,72868,70500,67951
52 years,56019,53187,57582,66270,68904,69380,75435,79040,80430,79418,80381,81977,82592,80207,77724,73918,74547,74365,71731,74404,75278,72446,70135
53 years,52287,55555,52772,57134,65756,67985,68849,74860,78512,79844,78876,79858,81481,82040,79665,76891,73496,74153,73970,71288,74034,74863,72055
54 years,51733,51815,55030,52295,56625,64896,67414,68297,74269,77907,79233,78337,79299,80923,81461,78904,76354,72972,73693,73464,70842,73583,74390
55 years,51309,51246,51323,54459,51865,56011,64318,66821,67730,73645,77253,78559,77751,78687,80302,80184,78344,75835,72474,73173,72982,70368,73080
56 years,50874,50781,50704,50778,53914,51434,55421,63695,66275,67113,72995,76584,77890,77078,78042,79378,79543,77730,75225,71883,72632,72471,69841
57 years,47954,50286,50189,50159,50209,53426,50888,54778,63060,65603,66480,72255,75859,77139,76383,77168,78690,78881,77006,74537,71316,72055,71909
58 years,45990,47335,49651,49593,49587,49332,52830,50360,54208,62370,64912,65748,71476,75049,76472,75730,76491,77954,78123,76332,73886,70677,71433
59 years,44414,45364,46692,48987,48993,48934,48736,52160,49718,53583,61647,64193,64996,70645,74234,75438,74975,75708,77191,77349,75581,73173,70012
60 years,43570,43768,44720,46012,48322,48224,48250,48059,51465,49068,52907,60846,63410,64231,69776,73358,74543,74099,74869,76333,76559,74756,72387
61 years,44583,42877,43059,43994,45246,47206,47514,47549,47440,50729,48411,52221,60072,62550,63382,69052,72481,73578,73183,73934,75478,75593,73837
62 years,43662,43822,42134,42307,43279,44178,46449,46747,46847,46727,49987,47712,51481,59181,61637,62615,68110,71516,72577,72212,73008,74537,74675
63 years,43544,42830,42919,41349,41542,42016,43421,45658,45990,46121,46027,49209,46970,50640,58241,60743,61711,67128,70495,71480,71133,72001,73525
64 years,45540,42662,41943,42042,40556,40114,41226,42655,44844,45152,45344,45170,48374,46169,49802,57466,59717,60795,66133,69333,70390,70068,70962
65 years,44550,44558,41757,40995,41083,39476,39250,40379,41811,43979,44293,44525,44388,47522,45370,48661,56478,58765,59818,65047,68218,69276,68962
66 years,43796,43461,43452,40753,40009,39646,38563,38379,39531,40955,43073,43412,43700,43519,46566,44506,47794,55506,57789,58814,63905,67075,68042
67 years,42056,42614,42312,42304,39738,38711,38674,37641,37523,38587,40010,42109,42517,42816,42608,45690,43671,46927,54444,56708,57777,62834,65871
68 years,40680,40864,41334,41143,41157,38331,37704,37644,36673,36600,37593,39061,41129,41605,41889,41974,44727,42800,46022,53311,55549,56589,61547
69 years,38936,39408,39535,40101,39884,39607,37220,36603,36593,35666,35628,36531,38030,40144,40588,40943,41007,43765,41885,44953,52164,54367,55378
70 years,38226,37572,38045,38208,38779,38202,38427,36040,35447,35469,34655,34618,35462,36996,39152,39894,39943,40058,42710,40979,43890,51007,53154
