age_num,Age,Year,Value
42,42 years,2018,91087
43,43 years,2018,89052
44,44 years,2018,88946
45,45 years,2018,84290
46,46 years,2018,79314
47,47 years,2018,74761
48,48 years,2018,72349
49,49 years,2018,70996
50,50 years,2018,67491
51,51 years,2018,67951
52,52 years,2018,70135
53,53 years,2018,72055
54,54 years,2018,74390
55,55 years,2018,73080
56,56 years,2018,69841
57,57 years,2018,71909
58,58 years,2018,71433
59,59 years,2018,70012
60,60 years,2018,72387
61,61 years,2018,73837
62,62 years,2018,74675
63,63 years,2018,73525
64,64 years,2018,70962
65,65 years,2018,68962
66,66 years,2018,68042
67,67 years,2018,65871
68,68 years,2018,61547
69,69 years,2018,55378
70,70 years,2018,53154
71,71 years,2018,49798
72,72 years,2018,41584
73,73 years,2018,37699
74,74 years,2018,38026
75,75 years,2018,34374
76,76 years,2018,33094
77,77 years,2018,31485
78,78 years,2018,29576
79,79 years,2018,26216
80,80 years,2018,23615
81,81 years,2018,21248
82,82 years,2018,19448
83,83 years,2018,18072
84,84 years,2018,15923
85,85 years,2018,14424
86,86 years,2018,13259
87,87 years,2018,11145
88,88 years,2018,9455
89,89 years,2018,7681
90,90 years,2018,5963
91,91 years,2018,4707
92,92 years,2018,3643
93,93 years,2018,2865
94,94 years,2018,2230
95,95 years,2018,1603
96,96 years,2018,1216
97,97 years,2018,875
98,98 years,2018,585
99,99 years,2018,407
100,100 years,2018,190
101,101 years,2018,182
102,102 years,2018,140
103,103 years,2018,142
104,104 years,2018,128
105,105 years,2018,106
106,106 years,2018,105
107,107 years,2018,84
108,108 years,2018,24
109,109 years,2018,10
